code,P_BILABIALS,P_CLICKS,P_CODAS,P_COMPLEX_CODAS,P_COMPLEX_ONSETS,P_EJECTIVES,P_FRICATIVES,P_FRONT_ROUND_VOWELS,P_GLOTTALIZED_RESONANTS,P_IMPLOSIVES,P_LABIAL_VELARS,P_LATERALS,P_LATERAL_L,P_LATERAL_OBSTRUENTS,P_NASALS,P_NASAL_VOWELS,P_PHARYNGEALS,P_TH,P_TONE,P_UVULAR_CONTINUANTS,P_UVULAR_STOPS,P_VELAR_NASAL,P_VELAR_NASAL_INITIAL,P_VOICE,P_VOICED_FRICATIVES,P_VOICED_PLOSIVES
bdk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
bdl,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
bdy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
bej,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0,0,1,0,1
ben,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
beq,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,0
bev,1,0,0.5,0,1,0,1,0,0,1,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
bex,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
bfu,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
bgp,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
bgr,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,1,1,1,1,1
bhm,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
bhq,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
bib,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,1,1
bif,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bkq,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,1,1
bla,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
blc,1,0,0.5,0.5,1,1,1,0,0,0,0,1,1,0,1,0.5,0,0,0,1,1,0.5,0.5,0,0,0
ble,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bmi,1,0,0.5,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1
bmr,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0,0,1,1,1
boa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
bod,1,0,0.5,0,1,0,1,1,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
bom,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
bor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,1,0,1
brb,1,0,0.5,0.5,1,0,1,0,0,1,0,1,1,0,1,0.5,1,0,0.5,0,0,0.5,0.5,0,0,0
bre,1,0,0.5,0.5,1,0,1,1,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,1,1
brh,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
brv,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
brx,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
bsc,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bsk,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1
bsn,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
btx,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1
bul,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,1,1
bvr,1,0,0.5,0.5,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
bwu,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bxm,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0.5
byx,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
bzd,1,0,0.5,0.5,0.5,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0.5,0,0,0,0,1,1,1
cab,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
cad,1,0,0.5,0,1,1,1,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
cag,1,0,0.5,0.5,0.5,1,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
car,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
cas,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
cat,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,1,1
cav,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
cbd,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
cbi,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0.5,0,0,0.5,0.5,1,0,1
cbn,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
cbr,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
cbv,1,0,0.5,0,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,0,0,0
cco,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
cdo,1,0,0.5,0,1,0,1,1,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,0,0,0
cgg,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
cha,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1
che,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
chf,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
chl,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0
cho,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
chp,0,0,0.5,0,1,1,1,0,0,0,0,1,1,1,1,0.5,0,1,1,0,0,0.5,0.5,1,1,0
chq,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0.5,0.5,1,1,0
chr,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,0,0,0
chv,1,0,0.5,0.5,1,0,1,1,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,1,1,1
cic,1,0,0.5,0,1,0,1,0,0,0,0,1,1,1,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
cid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
cir,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
cja,1,0,0.5,0.5,1,0,1,0,0,1,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,0,0,0
cjh,1,0,0.5,0.5,1,1,1,0,0,0,0,1,1,0,1,0.5,0,0,0,1,1,0,0,0,0,0
cji,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
cjs,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0.5
cjv,1,0,0.5,0.5,0.5,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0.5,0,0,0.5,0.5,1,0,1
ckt,1,0,0.5,0.5,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0
cku,1,0,0.5,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
cle,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,1,1,1,0,1
