code,P_CODAS,P_COMPLEX_CODAS,P_COMPLEX_ONSETS,P_EJECTIVES,P_IMPLOSIVES,P_LONG_VOWELS,P_TONE,P_UVULARS
dus,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
duu,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
dwr,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
eee,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ekk,1,1,1,0.5,0.5,1,0,0.5
eme,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
emp,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
enc,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
eng,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
enu,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
epo,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
ero,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
ers,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ert,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
etr,0,0,0,0.5,0.5,1,0.5,0.5
fab,0.5,0.5,0.5,0.5,0.5,1,1,0.5
fad,1,0,0,0.5,0.5,0,0,0.5
fap,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
fuh,1,0,0,0.5,0.5,1,0,0.5
fuq,1,0,0,0.5,0.5,1,0,0.5
fuy,1,1,0,0.5,0.5,0,0.5,0.5
gan,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ggn,0,0,1,0.5,0.5,0,1,0.5
ghe,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
git,1,0,0,0.5,0.5,0,0,0.5
gmv,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
gof,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
gol,0,0,0,0.5,0.5,0,1,0.5
gqi,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
guk,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
guq,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
gux,0,0,0,0.5,0.5,0,1,0.5
gvr,0,0,1,0.5,0.5,0,1,0.5
gwr,0.5,0.5,0.5,0.5,0.5,1,1,0.5
hak,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hch,0,0,0,0.5,0.5,1,1,0.5
hin,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
hlb,1,0,0,0.5,0.5,1,0,0.5
hma,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hmb,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hmd,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hmf,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hmm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hmp,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hmv,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hmw,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hmz,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hni,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
huc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hue,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
huo,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
huq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
hus,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
hut,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
huv,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
hve,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
hvn,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
hvv,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
ibg,1,0,0,0.5,0.5,0,0,0.5
ifk,1,0,0,0.5,0.5,0,0.5,0.5
ikx,0.5,0.5,0.5,1,1,0.5,1,0.5
iru,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
ium,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
iyo,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
jee,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
jit,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
jiu,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
jiy,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
jml,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
jnj,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
jnl,1,0,0,0.5,0.5,0,0,0.5
jpn,0,0,0,0.5,0.5,0,0.5,0.5
jul,1,0,0,0.5,0.5,0,1,0.5
kac,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
kdj,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
kdk,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
kek,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
kfj,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
kgj,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
kgy,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
khg,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
khq,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
kiu,1,1,0,0.5,0.5,0,0,0.5
kiy,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
kjl,0,0,0,0.5,0.5,1,1,0.5
kle,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
klg,1,0,0,0.5,0.5,1,0,0.5
kll,1,0,0,0.5,0.5,1,0,0.5
klr,0,0,1,0.5,0.5,0,0,0.5
kmc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
kmk,1,0,0,0.5,0.5,0,0.5,0.5
kmw,0,0,0,0.5,0.5,0,1,0.5
knb,1,0,0,0.5,0.5,0,0,0.5
knp,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
kpz,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
kqc,1,0,0,0.5,0.5,0,0.5,0.5
kra,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
krs,1,0,1,0.5,0.5,0,1,0.5
ktp,0,0,0,0.5,0.5,1,1,0.5
kvg,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
kvo,1,0,0,0.5,0.5,0,0,0.5
kxl,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
kxm,1,0,1,0.5,0.5,0,0,0.5
kya,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
